,cloud,humidity,lat,name,temp,windspeed
370,90,25,37.77,San Francisco,10.7,2.6
371,20,87,-1.95,Kigali,16.0,1.5
372,0,84,45.64,Basaid,8.17,6.06
373,90,87,36.84,Gorgan,9.0,0.96
374,44,100,-3.38,Bujumbura,15.87,1.01
375,88,83,17.9,Gustavia,25.0,4.1
376,40,95,50.95,Biest,1.0,4.1
377,0,77,-34.79,Turdera,18.4,2.6
378,80,100,-0.5,Machachi,7.89,0.71
379,88,83,18.07,Marigot,25.0,4.1
380,64,90,-3.37,Arusha,14.17,0.21
381,0,88,31.33,Faraskur,17.0,4.1
382,20,74,-7.84,Lawang,29.0,2.6
383,88,94,-6.02,Kundiawa,18.27,0.21
384,0,92,50.8,Gosport,-2.0,2.6
385,8,48,-33.48,Ramallo,19.12,5.91
386,20,95,5.2,Fish Town,20.54,1.21
387,0,88,22.7,Konnagar,23.0,2.1
388,20,100,53.28,Dalkey,-0.51,5.7
389,12,89,50.19,Shepetivka,4.97,6.61
390,75,86,48.16,Karancskeszi,3.0,2.1
391,75,86,49.54,Dalheim,1.54,6.2
392,8,100,15.3,Roseau,26.62,4.01
393,20,88,12.16,Gouyave,24.0,4.36
394,90,100,14.35,San Pedro,27.0,3.1
395,90,100,14.28,Santa Cruz,27.0,3.1
396,0,81,48.03,Drochia,0.09,2.11
397,0,70,48.49,Langenlois,7.74,4.21
398,40,88,9.58,Kottayam,26.0,1.06
399,0,61,43.75,Arilje,10.0,7.2
400,90,59,40.7,Union,1.85,1.81
401,75,94,-4.27,Brazzaville,22.0,1.0
402,90,92,59.39,Peetri,-1.0,6.2
403,90,80,38.56,Dushanbe,2.0,0.71
404,0,59,13.65,Nuevo Cuscatlan,21.15,5.1
405,92,97,-14.98,Mumbwa,18.14,3.46
406,0,88,-33.67,Vasse,22.24,7.86
407,100,94,4.92,Remire-Montjoly,25.0,1.0
408,20,51,13.86,Apaneca,24.02,6.01
409,0,69,46.37,Campeni,4.0,4.6
410,0,71,9.03,Addis Ababa,-3.99,1.11
411,56,90,-4.07,Zamora,14.02,0.86
412,92,100,56.16,Karlskrona,2.0,4.6
413,92,83,17.35,Sandy Point Town,25.0,4.1
414,0,70,31.81,Gedera,12.48,0.5
415,90,97,64.0,Hveragerdi,3.55,8.2
416,90,100,62.58,Liperi,-1.0,2.6
417,90,100,14.82,Balagtas,28.36,3.1
418,20,94,-6.16,Zanzibar,25.0,6.96
419,20,83,12.52,Oranjestad,26.0,2.1
420,12,61,13.09,Esteli,20.79,4.61
421,40,78,-6.31,Santo Antonio,27.0,2.1
422,20,93,54.82,Garliava,2.0,3.6
423,20,80,37.61,Mechanicsville,1.02,2.6
424,1,85,45.38,Paynesville,-10.69,3.6
425,75,94,-20.26,Quatre Bornes,25.0,1.5
426,76,100,18.04,Pedernales,24.47,1.06
427,90,100,43.3,Talghar,-7.0,1.0
428,20,94,14.0,Castries,22.0,4.11
429,75,70,47.19,Planken,6.4,5.7
430,20,23,35.72,Ichikawa,9.56,1.5
431,92,95,40.9,Pogradec,1.59,0.86
432,40,94,17.1,Parham,23.0,0.5
433,8,66,16.69,Shendi,17.12,3.11
434,75,70,-17.53,Papeete,29.0,3.1
435,48,66,11.25,San Juan del Sur,27.37,8.41
436,8,63,9.44,Anaco,23.47,3.81
437,32,99,50.78,Tappen,-7.76,0.71
438,0,92,23.08,Bishnupur,23.77,2.06
439,0,84,40.58,Kalamaria,1.0,1.5
440,0,100,42.83,Etropole,-5.0,1.5
441,24,93,10.89,Fonseca,18.97,0.61
442,92,98,-13.97,Lilongwe,17.52,1.61
443,75,55,34.8,Kanagawa,3.0,5.7
444,44,96,45.03,Feodosiya,10.17,7.31
445,88,95,31.61,Kandahar,-1.46,0.96
446,0,88,-17.83,Harare,17.0,4.6
447,1,86,37.39,Winton,6.62,2.36
448,75,77,-22.9,Roseira,20.0,2.6
449,0,81,49.1,Sabinov,7.03,3.1
450,1,18,37.1,Saint George,6.0,1.06
451,0,62,30.06,Cairo,12.0,2.6
452,0,88,14.77,Le Morne-Rouge,22.0,1.0
453,20,100,18.76,Hato Mayor del Rey,21.56,2.21
454,0,45,-31.54,San Juan,24.64,3.21
455,0,82,48.16,Soroca,-0.46,1.41
456,20,83,18.05,Yabucoa,25.0,3.11
457,75,88,-6.82,Dar es Salaam,25.41,4.1
458,20,52,44.54,Tuzla,18.0,8.2
459,0,87,43.72,La Gaude,8.03,3.6
460,75,78,10.31,Marabella,24.0,2.06
